Wordpress Version,Apache Version,PHP Version,Avg. RT Experiment 1,Avg. RT Experiment 2,Avg. RT Experiment 3,MEAN of Experiments ,STD of Experiments
 4.7.2,2.4.10 ,5.6.30,2049.369128,2123.553333,1926.711409,2033.21129,81.16851827
 4.7.2,2.4.10 ,7.0.16,536.0201342,571.5838926,524.6933333,544.0991201,19.97721446
 4.7.5,2.4.10 ,7.0.19,530.7583893,532.852349,525.852349,529.8210291,2.93359655
 4.7.5,2.4.10 ,7.1.5,586.2214765,537.8255034,514.5302013,546.1923937,29.85982111
4.8,2.4.10 ,5.6.31,2050.691275,2056.422819,2062.073333,2056.395809,4.646745037
4.8,2.4.10 ,7.0.21,554.5866667,550.1006711,560.86,555.1824459,4.412633687
4.8,2.4.10 ,7.1.7,565.0469799,578.98,579.6577181,574.561566,6.733515049
 4.8.1,2.4.10 ,5.6.31,2113.445946,2060.530201,2226.510067,2133.495405,69.22819542
 4.8.1,2.4.10 ,7.0.23,636.9861111,579.7248322,575.3489933,597.3533122,28.08150107
 4.8.1,2.4.10 ,7.1.9,578.0738255,569.3422819,537.8724832,561.7628635,17.26504498
 4.8.2,2.4.10 ,5.6.32,590.7315436,573.8066667,565.8590604,576.7990902,10.37227248
 4.8.2,2.4.10 ,7.0.25,2136.38255,2153.979866,2108.167785,2132.8434,18.86939086
 4.8.2,2.4.10 ,7.1.11,594.0604027,589.0671141,536.7635135,573.2970101,25.91338795
 4.8.3,2.4.10 ,5.6.32,2165.248322,2400.171429,2098.174497,2221.198082,129.4818352
 4.8.3,2.4.10 ,7.0.25,620.7933333,578.9395973,546.9328859,582.2219389,30.24259411
 4.8.3,2.4.10 ,7.1.11,613.7785235,611.3825503,582.9597315,602.7069351,13.9976
4.9,2.4.10 ,5.6.32,2306.697987,2204.653333,2185.560811,2232.304044,53.17878757
4.9,2.4.10 ,7.0.26,657.6933333,634.9865772,590.704698,627.7948695,27.81677924
4.9,2.4.10 ,7.1.12,677.8187919,636.9261745,593.261745,636.0022371,34.52645163
 4.9.1,2.4.10 ,5.6.33,2518.893333,2277.389262,2278.606667,2358.296421,113.5602536
 4.9.1,2.4.10 ,7.0.27,690.1744966,659.9597315,634.78,661.6380761,22.64582662
 4.9.1,2.4.10 ,7.1.13,675.409396,653.6107383,675.1232877,668.0478073,10.20921761
 4.9.1,2.4.25 ,7.2.1,611.1946309,596.8255034,564.6644295,590.8948546,19.45326631
 4.9.2,2.4.10 ,5.6.33,673.3355705,594.0201342,668.3241379,645.2266142,36.26620381
 4.9.2,2.4.10 ,7.0.27,2350.993289,2294.530201,2356.993289,2334.17226,28.13798834
 4.9.2,2.4.10 ,7.1.13,676.8657718,671.8456376,699.6107383,682.7740492,12.08045281
 4.9.2,2.4.25 ,7.2.1,674.3288591,650.8533333,615.8053691,646.9958538,24.04731211
 4.9.3,2.4.10 ,5.6.33,2360.651007,2363.979866,2262.261745,2328.964206,47.18533698
 4.9.3,2.4.10 ,7.0.27,683.9333333,702.9597315,615.9798658,667.6243102,37.33508126
 4.9.3,2.4.10 ,7.1.14,693.1879195,662.76,708.4444444,688.130788,18.9903142
 4.9.3,2.4.25 ,7.2.2,592.4026846,617.8724832,557.6308725,589.3020134,24.69107176
 4.9.4,2.4.10 ,5.6.35,2306.42,2272.62,2272.106667,2283.715556,16.05583437
 4.9.4,2.4.10 ,7.0.29,661.7986577,675.966443,647.9463087,661.9038031,11.43941351
 4.9.4,2.4.10 ,7.1.16,612.2281879,693.4563758,643.3355705,649.6733781,33.46272037
 4.9.4,2.4.25 ,7.2.4,612.9798658,611.7986577,558.7516779,594.5100671,25.28959753
 4.9.5,2.4.10 ,5.6.36,2276.946309,2274.96,2287.173333,2279.693214,5.351043157
 4.9.5,2.4.10 ,7.0.30,648.7516779,650.4228188,625.0671141,641.4138702,11.57901854
 4.9.5,2.4.10 ,7.1.17,585.114094,589.7027027,538.9932886,571.2700284,22.89985128
 4.9.5,2.4.25 ,7.2.5,639.3422819,683.6979866,620.5167785,647.852349,26.48625045
 4.9.6,2.4.25 ,5.6.36,2304.673333,2325.979866,2286.805369,2305.819523,16.01344455
 4.9.6,2.4.25 ,7.0.30,678,680.6666667,627.1933333,661.9533333,24.60312958
 4.9.6,2.4.25 ,7.1.19,705.6040268,671.7315436,612.2751678,663.2035794,38.5755848
 4.9.6,2.4.25 ,7.2.7,622.92,607.9798658,575.2348993,602.0449217,19.91456548
 4.9.7,2.4.25 ,5.6.37,691.4161074,699.966443,636.0872483,675.8232662,28.31360566
 4.9.7,2.4.25 ,7.0.31,684.4966443,690.2348993,613.1006711,662.6107383,35.08719569
 4.9.7,2.4.25 ,7.1.20,606.7533333,606.4496644,574.3758389,595.8596122,15.19182763
 4.9.7,2.4.25 ,7.2.8,2301.95302,2296.610738,2315.187919,2304.583893,7.808927922
 4.9.8,2.4.25 ,5.6.38,2350.61745,2355.073826,2342.09396,2349.261745,5.385021218
 4.9.8,2.4.25 ,7.0.32,708.8,658.8993289,667.1275168,678.2756152,21.84382932
 4.9.8,2.4.25 ,7.1.24,678.3892617,668.1409396,641.8389262,662.7897092,15.39390589
 4.9.8,2.4.25 ,7.2.12,601.4362416,627.0536913,599.3422819,609.2774049,12.59876804
5,2.4.25 ,5.6.39,2647.738255,2556.893333,2639.899329,2614.843639,41.10182999
5,2.4.25 ,7.0.33,754.2751678,728.7027027,723.6040268,735.5272991,13.41916686
5,2.4.25 ,7.1.25,674.9530201,689.8187919,642.3087248,669.0268456,19.84340827
5,2.4.25 ,7.2.13,745.0805369,745.0533333,693.9194631,728.0177778,24.1111521
 5.0.1,2.4.25 ,5.6.39,2652.946309,2633.52349,2561.926174,2616.131991,39.14089408
 5.0.1,2.4.25 ,7.0.33,750.9533333,841.8571429,711.2013423,768.0039395,54.68562842
 5.0.1,2.4.25 ,7.1.25,747.6107383,732.9666667,682.44,721.0058016,27.91777212
 5.0.1,2.4.25 ,7.2.13,694.9060403,682.8993289,636.4295302,671.4116331,25.21706991
 5.0.2,2.4.25 ,5.6.39,2501.060403,2629.542857,2557.026846,2562.543368,52.59758736
 5.0.2,2.4.25 ,7.0.33,728.3288591,752.6375839,681.2281879,720.7315436,29.64360369
 5.0.2,2.4.25 ,7.1.25,723.1812081,794.8783784,684.3892617,734.1496161,45.76891743
 5.0.2,2.4.25 ,7.2.13,690.8053691,672.1677852,608.5436242,657.1722595,35.21740114
 5.0.3,2.4.25 ,7.1.26,748.02,747.0536913,682.2684564,725.7807159,30.77034269
 5.0.3,2.4.25 ,7.2.15,671.7852349,695.6778523,639.6778523,669.0469799,22.9437505
 5.0.3,2.4.25 ,7.3.2,572.72,554.0738255,542.738255,556.5106935,12.36069044
5.1,2.4.25 ,7.1.27,753.9798658,773.3892617,697.7315436,741.7002237,32.08441766
5.1,2.4.25 ,7.2.16,703.1342282,672.2483221,653.3866667,676.2564057,20.50615386
5.1,2.4.25 ,7.3.3,602.8120805,577.9597315,600.3783784,593.7167302,11.18609197
 5.1.1,2.4.25 ,7.1.29,717.3422819,685.6510067,711.1073826,704.7002237,13.70822122
 5.1.1,2.4.25 ,7.2.18,562.38,628.3533333,610.0402685,600.2578673,27.8075734
 5.1.1,2.4.25 ,7.3.5,729.2684564,755.0671141,717.5771812,733.9709172,15.66223953
5.2,2.4.25 ,7.1.29,793.1677852,737.1066667,790.033557,773.436003,25.72056706
5.2,2.4.25 ,7.2.18,666.738255,685.2147651,650.9731544,667.6420582,13.99368004
5.2,2.4.25 ,7.3.5,590.8322148,677.3401361,557.3959732,608.5227747,50.53953888
 5.2.1,2.4.25 ,7.1.30,791.6912752,772.32,730.2416107,764.750962,25.65129064
 5.2.1,2.4.25 ,7.2.19,737.1946309,801.239726,663.3733333,733.9358967,56.33086821
 5.2.1,2.4.25 ,7.3.6,704.9932886,628.1208054,583.5704698,638.8948546,50.15266914
 5.2.2,2.4.38 ,7.1.32,766.0872483,782.2684564,732.0201342,760.1252796,20.94249703
 5.2.2,2.4.38 ,7.2.22,726.7651007,705.9266667,702.9194631,711.8704101,10.60344827
 5.2.2,2.4.38 ,7.3.9,615.3154362,643.8053691,619.0134228,626.0447427,12.64907543
 5.2.3,2.4.38 ,7.1.32,950.2708333,779.9066667,732.2684564,820.8153188,93.58204049
 5.2.3,2.4.38 ,7.2.23,666.8187919,669.7583893,695.777027,677.4514027,13.01362586
 5.2.3,2.4.38 ,7.3.10,567.590604,582.0134228,638.4161074,596.0067114,30.56056365
 5.2.4,2.4.38 ,7.1.33,767.1266667,727.2133333,738.1006711,744.1468904,16.84608995
 5.2.4,2.4.38 ,7.2.24,682.7583893,705.1946309,691.0604027,693.0044743,9.262137808
 5.2.4,2.4.38 ,7.3.11,592.2818792,602.9127517,597.1677852,597.4541387,4.344756316
5.3,2.4.38 ,7.1.33,797.7533333,1017.425532,745.8456376,853.6748343,117.7124192
5.3,2.4.38 ,7.2.25,660.6979866,871.4236111,678.42,736.8471992,95.43453399
5.3,2.4.38 ,7.3.12,566.0066667,607.9194631,659.1208054,611.015645,38.07668108
